Date,Country,SIMDQuintile,TotalPositive,CrudeRatePositive,TotalDeaths,CrudeRateDeaths,TotalNegative,CrudeRateNegative
20201203,S92000003,1,25105,2314.7614564787,1083,99.8560707973088,247744,22842.7907697216
20201203,S92000003,2,21262,1960.90728160444,866,79.8676373751031,228762,21097.7834424981
20201203,S92000003,3,16579,1525.52837718342,681,62.6626952688285,207662,19108.1653816673
20201203,S92000003,4,16947,1546.66413559025,666,60.7823399010507,208725,19049.2400838541
20201203,S92000003,5,17058,1569.61834294753,546,50.2410373577999,199786,18383.6188453579
